,sentyr,songername,demean_logprisonsentmonths,christian,aba_best,x_black,x_dem,age,trial,gender
1258,1995,"BRATTON, HOWARD C.",-0.5233004093170166,1.0,0.0,0.0,1.0,73.0,0.0,1.0
8067,2002,"LEMMON, MARY ANN VIAL",-0.08258696645498276,0.0,0.0,0.0,1.0,61.0,0.03846153989434242,0.0
8193,2007,"LINARES, JOSE L.",0.5287802219390869,0.0,1.0,0.0,0.0,54.0,0.0,1.0
9019,2009,"MCKENNA, LAWRENCE M.",-1.8291583061218262,0.0,0.0,0.0,0.0,76.0,0.0,1.0
8392,1991,"LUDWIG, EDMUND V.",-0.47365713119506836,0.0,1.0,0.0,0.0,63.0,0.0,1.0
8053,2002,"LEMELLE, IVAN L.R.",0.007979853078722954,0.0,0.0,1.0,1.0,52.0,0.03448275849223137,1.0
7409,2006,"KING, GEORGE H.",0.24349844455718994,0.0,1.0,0.0,1.0,55.0,0.01923076994717121,1.0
4063,1997,"FELDMAN, MARTIN L.C.",-1.9253158569335938,0.0,0.0,0.0,0.0,63.0,0.0,1.0
563,2009,"BARBOUR, WILLIAM H., JR.",-0.31719905138015747,1.0,0.0,0.0,0.0,68.0,0.095238097012043,1.0
7455,2002,"KISER, JACKSON L.",0.3251195549964905,1.0,1.0,0.0,0.0,73.0,0.1071428582072258,1.0
12303,1997,"SHANAHAN, THOMAS MICHAEL",-0.5830962061882019,0.0,0.0,0.0,1.0,63.0,0.0,1.0
3899,2004,"ERICKSEN, JOAN N. (NEE LANCASTER)",0.6633824706077576,1.0,1.0,0.0,0.0,50.0,0.25806450843811035,0.0
14346,1989,"WARREN, ROBERT W.",2.384185791015625e-07,1.0,0.0,0.0,0.0,64.0,0.0,1.0
7085,2010,"KATZ, DAVID A.",0.44052040576934814,0.0,0.0,0.0,1.0,77.0,0.0,1.0
7059,1999,"KARLTON, LAWRENCE KATZ",-0.4600595235824585,0.0,0.0,0.0,1.0,64.0,0.03076923079788685,1.0
10313,2006,"OTERO, S. JAMES",-0.18380308151245117,0.0,1.0,0.0,0.0,55.0,0.02500000037252903,1.0
12783,1999,"SMITH, WALTER S., JR.",0.7302729487419128,1.0,1.0,0.0,0.0,59.0,0.07894736528396606,1.0
926,2001,"BERTELSMAN, WILLIAM O.",0.23653680086135864,0.0,1.0,0.0,1.0,65.0,0.07999999821186066,1.0
1189,2008,"BOYKO, CHRISTOPHER A.",0.3446234464645386,0.0,1.0,0.0,0.0,54.0,0.02777777798473835,1.0
7388,2001,"KING, GARR M.",-0.6463079452514648,0.0,0.0,0.0,1.0,65.0,0.0,1.0
10335,1995,"OWENS, WILBUR D., JR.",0.4169652462005615,1.0,0.0,0.0,0.0,65.0,0.0,1.0
14705,1991,"WILLIAMS, GLEN M.",1.1651387214660645,1.0,1.0,0.0,0.0,71.0,1.0,1.0
4052,2002,"FEIKENS, JOHN",-0.23806826770305634,1.0,0.0,0.0,0.0,85.0,0.0833333358168602,1.0
12403,2001,"SHAW, CHARLES A.",-0.1050867959856987,1.0,1.0,1.0,1.0,57.0,0.01923076994717121,1.0
1424,2000,"BRODY, ANITA B.",0.11534275859594345,0.0,0.0,0.0,0.0,65.0,0.023255813866853714,0.0
14887,2008,"WOLFSON, FREDA L.",-0.3530541658401489,0.0,1.0,0.0,0.0,54.0,0.06382978707551956,0.0
14873,2003,"WOLF, MARK L.",0.43811553716659546,0.0,0.0,0.0,0.0,57.0,0.04545454680919647,1.0
6609,2006,"JACKSON, CAROL ELAINE",-0.005400216672569513,1.0,0.0,1.0,0.0,54.0,0.012500000186264515,0.0
11739,1991,"RUSSELL, DAVID L.",0.9917287826538086,1.0,0.0,0.0,0.0,49.0,1.0,1.0
3394,2007,"DOHERTY, REBECCA FEENEY",-0.9848507046699524,0.0,0.0,0.0,0.0,55.0,0.125,0.0
9043,2001,"MCKINLEY, JOSEPH H., JR.",0.18057654798030853,1.0,0.0,0.0,1.0,47.0,0.023255813866853714,1.0
12182,2003,"SEITZ, PATRICIA",-0.34306007623672485,0.0,0.0,0.0,1.0,57.0,0.15000000596046448,0.0
14350,1999,"WATERS, H. FRANKLIN",-0.25141778588294983,1.0,1.0,0.0,0.0,67.0,0.0833333358168602,1.0
11542,1993,"ROETTGER, NORMAN C., JR.",0.750766932964325,1.0,1.0,0.0,0.0,63.0,0.0,1.0
12767,2005,"SMITH, REBECCA BEACH",0.7171584367752075,1.0,0.0,0.0,0.0,56.0,0.06756756454706192,0.0
1863,2011,"CALDWELL, WILLIAM WILSON",0.012678165920078754,1.0,1.0,0.0,0.0,86.0,0.0833333358168602,1.0
6522,2005,"ILLSTON, SUSAN Y.",-0.2873000502586365,0.0,1.0,0.0,1.0,57.0,0.11538461595773697,0.0
4357,1992,"FREEMAN, RICHARD C.",-0.24160337448120117,1.0,0.0,0.0,0.0,66.0,1.0,1.0
8357,1993,"LOWE, MARY JOHNSON",-7.893982887268066,1.0,1.0,1.0,1.0,69.0,0.0,0.0
11362,1995,"RICE, WALTER HERBERT",0.06496810913085938,0.0,1.0,0.0,1.0,58.0,0.0,1.0
6172,2009,"HOPKINS, VIRGINIA EMERSON",-0.26118090748786926,0.0,0.0,0.0,0.0,57.0,0.05999999865889549,0.0
11630,2007,"ROSENBAUM, JAMES M.",0.5332878828048706,0.0,1.0,0.0,0.0,63.0,0.13114753365516663,1.0
2436,2000,"COFFMAN, JENNIFER LYNNE B.",-0.16028758883476257,1.0,1.0,0.0,1.0,52.0,0.08130080997943878,0.0
5829,2006,"HIGGINS, THOMAS A.",-1.2540879249572754,0.0,0.0,0.0,0.0,74.0,0.0,1.0
5513,2010,"HARMON, MELINDA F.",0.3271331489086151,0.0,0.0,0.0,0.0,64.0,0.0317460335791111,0.0
13041,1999,"STAMP, FREDERICK P., JR.",0.2365979254245758,1.0,1.0,0.0,0.0,65.0,0.10144927352666855,1.0
4145,2000,"FISH, ALLEN JOE",-0.009653560817241669,1.0,0.0,0.0,0.0,58.0,0.1147540956735611,1.0
15194,1995,"ZLOCH, WILLIAM J.",-1.2156167030334473,0.0,0.0,0.0,0.0,51.0,0.0,1.0
7826,2008,"LASKER, MORRIS E.",-2.6400277614593506,0.0,0.0,0.0,1.0,91.0,0.20000000298023224,1.0
2083,2005,"CASEY, RICHARD CONWAY",0.133925199508667,0.0,0.0,0.0,1.0,72.0,0.0357142873108387,1.0
12058,2008,"SCHWAB, ARTHUR J.",-0.21930798888206482,0.0,0.0,0.0,0.0,62.0,0.02777777798473835,1.0
12945,2010,"SPRINGMANN, THERESA LAZAR",0.4428466856479645,0.0,1.0,0.0,0.0,54.0,0.0,0.0
2548,2007,"COLLINS, AUDREY B.",-0.11076342314481735,0.0,0.0,1.0,1.0,62.0,0.01923076994717121,0.0
9540,2001,"MOODY, JAMES S.",0.7220049500465393,1.0,1.0,0.0,1.0,54.0,0.2211538404226303,1.0
4299,1999,"FORRESTER, J. OWEN",0.43546485900878906,1.0,0.0,0.0,0.0,60.0,0.15625,1.0
6262,2009,"HOWARD, MALCOLM J.",-0.35786882042884827,1.0,0.0,0.0,0.0,70.0,0.024390242993831635,1.0
1908,1997,"CAMPBELL, TENA",0.15972793102264404,0.0,1.0,0.0,1.0,53.0,0.0,0.0
8884,1999,"MCBRYDE, JOHN H.",0.021548647433519363,1.0,1.0,0.0,0.0,68.0,0.05263157933950424,1.0
13745,1998,"TRAGER, DAVID G.",-0.02757275477051735,0.0,1.0,0.0,1.0,61.0,0.1034482792019844,1.0
13340,2010,"SWAIN, LAURA T.",-2.235062837600708,1.0,0.0,1.0,1.0,52.0,0.0,0.0
11265,2002,"REDDEN, JAMES ANTHONY, JR.",0.059790827333927155,0.0,1.0,0.0,1.0,73.0,0.04545454680919647,1.0
3217,1994,"DEARIE, RAYMOND J.",-0.19694781303405762,0.0,0.0,0.0,0.0,50.0,0.0,1.0
8313,2003,"LONGSTAFF, RONALD EARL",-0.03307872265577316,1.0,1.0,0.0,0.0,62.0,0.09909909963607788,1.0
625,2009,"BARTLE, HARVEY, III",0.19041496515274048,1.0,1.0,0.0,0.0,68.0,0.05882352963089943,1.0
123,2005,"ALBRITTON, WILLIAM H., III",-0.046813301742076874,1.0,1.0,0.0,0.0,69.0,0.04054053872823715,1.0
8000,1999,"LEGGE, CHARLES A.",-0.20498304069042206,0.0,1.0,0.0,0.0,69.0,0.05714285746216774,1.0
5509,2006,"HARMON, MELINDA F.",0.843004584312439,0.0,0.0,0.0,0.0,60.0,0.05263157933950424,0.0
13642,1997,"TIDWELL, GEORGE ERNEST",-0.4679599106311798,1.0,1.0,0.0,1.0,66.0,0.25,1.0
9455,2009,"MINALDI, PATRICIA HEAD",0.25985392928123474,0.0,0.0,0.0,0.0,50.0,0.1111111119389534,0.0
13500,1999,"TEVRIZIAN, DICKRAN M., JR.",0.36670663952827454,1.0,1.0,0.0,0.0,59.0,0.022727273404598236,1.0
12304,1998,"SHANAHAN, THOMAS MICHAEL",0.14565196633338928,0.0,0.0,0.0,1.0,64.0,0.10526315867900848,1.0
15083,2003,"YOUNG, WILLIAM G.",1.0456827878952026,1.0,0.0,0.0,0.0,63.0,0.125,1.0
7568,1997,"KORNMANN, CHARLES B.",-0.5354136228561401,0.0,0.0,0.0,1.0,60.0,0.0,1.0
7758,2009,"LAMBERTH, ROYCE C.",1.6282334327697754,1.0,0.0,0.0,0.0,66.0,0.125,1.0
4616,1993,"GARCIA, HIPOLITO FRANK",-0.3914780616760254,0.0,0.0,0.0,1.0,68.0,0.0,1.0
6423,2000,"HUNTER, ELMO B.",1.0338726043701172,1.0,1.0,0.0,1.0,85.0,0.0,1.0
12355,2002,"SHARP, ALLEN",-0.27595755457878113,1.0,0.0,0.0,0.0,70.0,0.02083333395421505,1.0
10634,2006,"PEPPER, W. ALLEN, JR.",-0.3094131350517273,1.0,0.0,0.0,1.0,65.0,0.02222222276031971,1.0
2344,1999,"CLARK, RUSSELL G.",0.13190408051013947,1.0,0.0,0.0,1.0,74.0,0.10526315867900848,1.0
7567,1995,"KORNMANN, CHARLES B.",0.0,0.0,0.0,0.0,1.0,58.0,0.0,1.0
7523,2008,"KOLLAR-KOTELLY, COLLEEN",1.0796270370483398,0.0,1.0,0.0,1.0,65.0,0.05263157933950424,0.0
