,sentyr,judgeid,disparity_race,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,monsex_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
2947,2007,"ISHII, ANTHONY W.",-0.028192251920700073,-0.04210526496171951,0.0,0.0,0.0,0.0,0.0,-0.05263157933950424,0.0,0.1555555760860443,0.0,0.1485380232334137,-0.04210526496171951,0.11695906519889832,-0.12631578743457794,-0.010526316240429878,0.0,-0.09473684430122375,0.0,0.0,0.0,-0.010526316240429878,-0.04210526496171951,-0.08421052992343903,-0.031578946858644485,-0.229239821434021,1.0,10.0
5805,2008,"STEELE, JOHN E.",0.06681640446186066,-0.07692307978868484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43589746952056885,0.0,0.08974359184503555,0.0,-0.07692307978868484,-0.23076923191547394,0.0,0.0,-0.23076923191547394,0.0,0.1666666716337204,0.0,0.0,-0.07692307978868484,-0.1538461595773697,-0.06410256028175354,-0.6025640964508057,1.0,8.0
6407,2010,"WHITE, RONALD A.",-0.13886331021785736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3526315987110138,0.0,-0.1894736886024475,-0.05263157933950424,-0.10526315867900848,0.0,0.0,0.0,-0.05263157933950424,0.0,0.0736842155456543,-0.02631578966975212,0.0,0.0,-0.07894736528396606,-0.05263157933950424,-0.16842103004455566,1.0,7.0
6151,2008,"URBINA, RICARDO M.",-0.200608491897583,0.0,0.0,0.0,0.0,0.0,-0.3333333432674408,0.0,0.0,0.4166666567325592,0.0,0.0,0.25,0.0,0.0,0.0,-0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-1.0,1.0,14.0
3068,2008,"JONES, JAMES P.",0.16794796288013458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1507936418056488,0.0,-0.095238097012043,-0.0833333358168602,-0.25,0.0,0.0436507984995842,0.0,0.0436507984995842,-0.02777777798473835,-0.0555555559694767,0.0,-0.02777777798473835,0.30158731341362,-0.1071428507566452,0.2063492089509964,-0.3888888359069824,1.0,12.0
1510,2007,"DELGADO-COLON, AIDA M.",0.04279869794845581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09340660274028778,0.0,0.05494506657123566,0.0,-0.1538461595773697,0.4285714328289032,0.0,0.0,-0.08241758495569229,0.0,-0.07692307978868484,0.0,0.0,-0.07692307978868484,0.0714285746216774,0.0,0.04945051670074463,0.0,1.0
3844,2004,"MARRERO, VICTOR",-0.28174686431884766,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666716337204,0.0,0.0833333283662796,0.0,0.0,0.0,0.3333333134651184,-0.1666666716337204,0.0,0.0,0.0,-0.1666666716337204,-0.1666666716337204,0.25,0.0,0.0,0.0,0.5,-0.16666674613952637,1.0,5.0
5140,2005,"ROSENBAUM, JAMES M.",-0.14166688919067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02857142686843872,0.0,0.18571430444717407,0.0,0.07619047909975052,-0.06666667014360428,0.0,0.0,-0.06666667014360428,0.0,0.0,-0.03333333507180214,0.0,-0.06666667014360428,-0.13333334028720856,0.1190476268529892,1.6333333253860474,1.0,20.0
511,2008,"BLOCK, FREDERIC",0.035840682685375214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285373687744,0.0,0.2571428418159485,0.0,-0.08571429550647736,0.20000000298023224,-0.1428571492433548,0.0,-0.2857142984867096,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.20000000298023224,0.7999999523162842,1.0,14.0
5837,2011,"STENGEL, LAWRENCE F.",-0.060288045555353165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4126984477043152,0.0,0.380952388048172,0.0,0.0317460373044014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746031939983368,0.2857142984867096,5.047618865966797,1.0,7.0
