,sentyr,judgeid,disparity_race,monsex_disparity,nocounts_disparity,gender,x_black,x_dem,aba_best,christian
8,2003,"ADAMS, JOHN R.",0.05283930152654648,0.1818181872367859,-0.012987017631530762,1.0,0.0,0.0,0.0,0.0
2019,2009,"KEENAN, JOHN F.",-3.8805108432127255e-11,0.0,-0.6666666269302368,1.0,0.0,0.0,1.0,0.0
1339,2003,"GARCIA, EDWARD J.",0.040740761905908585,0.3333333432674408,0.0,1.0,0.0,0.0,0.0,0.0
3229,2004,"ROSENBLATT, PAUL G.",0.028939615935087204,-0.05263157933950424,-0.15789473056793213,1.0,0.0,0.0,0.0,1.0
543,2005,"CASELLAS, SALVADOR E.",-0.08509519696235657,0.2708333432674408,-0.14583337306976318,1.0,0.0,1.0,0.0,0.0
474,2005,"CAMP, JACK T., JR.",0.04216150939464569,0.1507936418056488,-1.595238208770752,1.0,0.0,0.0,0.0,1.0
1407,2010,"GEX, WALTER J., III",-0.057779159396886826,0.1666666716337204,1.1666667461395264,1.0,0.0,0.0,0.0,0.0
873,2009,"DAVIS, LEGROME D.",-0.017043190076947212,0.04895104467868805,0.6993007659912109,1.0,1.0,0.0,1.0,0.0
116,2005,"BABCOCK, LEWIS T.",-0.024696163833141327,0.07268171012401581,-0.21052634716033936,1.0,0.0,0.0,1.0,1.0
1867,2010,"ISHII, ANTHONY W.",-0.059943459928035736,-0.05970149114727974,0.4656716585159302,1.0,0.0,1.0,1.0,0.0
2192,2004,"LANCASTER, GARY L.",0.006373796612024307,-0.25,-37.33333206176758,1.0,1.0,1.0,0.0,1.0
2157,2011,"KRAVITZ, MARK R.",-0.04608333110809326,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1402,2005,"GEX, WALTER J., III",0.019628865644335747,-0.10000000149011612,0.3333333730697632,1.0,0.0,0.0,0.0,0.0
3150,2006,"ROBERTS, VICTORIA A.",-0.025600101798772812,-0.1428571492433548,0.5,0.0,1.0,1.0,1.0,0.0
541,2003,"CARTER, GENE",-0.0855439081788063,-0.1111111119389534,-0.4444444179534912,1.0,0.0,0.0,0.0,0.0
1341,2010,"GARCIA, ORLANDO L.",0.0,1.0,-0.4473683834075928,1.0,0.0,1.0,0.0,0.0
2281,2006,"LEVI, DAVID F.",-0.04511292278766632,0.061403512954711914,0.7982456684112549,1.0,0.0,0.0,0.0,0.0
3409,2004,"SEYBERT, JOANNA",-0.05331069231033325,-0.0416666679084301,-0.7916666269302368,0.0,0.0,1.0,0.0,0.0
2490,2004,"MCCUSKEY, MICHAEL P.",0.07306508719921112,-0.2083333283662796,-0.75,1.0,0.0,1.0,1.0,1.0
3526,2004,"SINGLETON, JAMES K., JR.",-0.006937849801033735,-0.30434781312942505,1.3913042545318604,1.0,0.0,0.0,1.0,0.0
2763,2004,"MUNSON, HOWARD G.",0.014849608764052391,0.0,-1.8571429252624512,1.0,0.0,0.0,1.0,0.0
3105,2008,"REAL, MANUEL L.",-6.596868051822469e-10,-0.1666666716337204,-0.5,1.0,0.0,1.0,0.0,0.0
840,2005,"DANIELS, GEORGE B.",-0.05301433056592941,0.0,0.7230768203735352,1.0,1.0,1.0,1.0,0.0
3420,2003,"SHABAZ, JOHN C.",0.14222213625907898,-0.1666666716337204,0.08333337306976318,1.0,0.0,0.0,0.0,1.0
359,2007,"BRINKEMA, LEONIE M.",0.058368537575006485,-0.10526315867900848,0.7706767320632935,0.0,0.0,1.0,1.0,1.0
2238,2006,"LAZZARA, RICHARD A.",0.2531178891658783,0.08152173459529877,-0.054347872734069824,1.0,0.0,1.0,1.0,0.0
1422,2007,"GILES, JAMES T.",0.0038977512158453465,-0.25,0.5750000476837158,1.0,1.0,1.0,0.0,1.0
4140,2005,"WHITTEMORE, JAMES D.",0.01931801810860634,0.1428571492433548,-0.009216666221618652,1.0,0.0,1.0,1.0,1.0
3663,2004,"STANDISH, WILLIAM L.",4.967053879312289e-09,-0.1666666716337204,-0.3333333730697632,1.0,0.0,0.0,1.0,1.0
2769,2006,"MURGUIA, CARLOS",0.10370655357837677,-0.1547619104385376,0.10714280605316162,1.0,0.0,1.0,0.0,0.0
4271,2008,"YOUNG, RICHARD L.",0.06510025262832642,-0.25,-0.5125000476837158,1.0,0.0,1.0,1.0,0.0
884,2011,"DAVIS, LEONARD E.",0.0005927592283114791,-0.1071428582072258,-0.03571426868438721,1.0,0.0,0.0,1.0,1.0
3540,2004,"SKRETNY, WILLIAM M.",-0.06727833300828934,-0.018518518656492233,0.009259343147277832,1.0,0.0,0.0,0.0,0.0
2935,2010,"PERRY, MATTHEW J., JR.",-0.008750000968575478,0.0,0.20000004768371582,1.0,1.0,1.0,0.0,1.0
2917,2010,"PECHMAN, MARSHA J.",-0.08115535974502563,-0.1599999964237213,0.13142848014831543,0.0,0.0,1.0,0.0,0.0
3734,2007,"STORY, RICHARD W.",0.036850109696388245,0.1794871836900711,0.7692307233810425,1.0,0.0,1.0,1.0,1.0
3094,2006,"READE, LINDA R.",-0.06419140100479126,-0.014155708253383636,-0.19312429428100586,0.0,0.0,0.0,1.0,0.0
1499,2007,"GRAHAM, JAMES L.",0.029544789344072342,0.0,0.3333333730697632,1.0,0.0,0.0,0.0,1.0
1488,2010,"GRAHAM, DONALD L.",0.00045628336374647915,-0.0714285746216774,0.3285714387893677,1.0,1.0,0.0,0.0,1.0
2869,2007,"O'MALLEY, KATHLEEN M.",-0.030872896313667297,-0.03750000149011612,-0.01250004768371582,0.0,0.0,1.0,1.0,0.0
612,2008,"CHESNEY, MAXINE M.",0.013785713352262974,-0.10000000149011612,-0.10000002384185791,0.0,0.0,1.0,1.0,0.0
1623,2011,"HAYES, WILLIAM Q.",-0.12591588497161865,-0.1764705926179886,-0.4117647409439087,1.0,0.0,0.0,0.0,0.0
663,2008,"COHILL, MAURICE B., JR.",0.0018354890635237098,0.03750000149011612,-0.3875000476837158,1.0,0.0,0.0,0.0,1.0
3345,2007,"SCHLESINGER, HARVEY E.",0.08058269321918488,0.0,0.0,1.0,0.0,0.0,1.0,0.0
296,2009,"BOWEN, DUDLEY H., JR.",1.30385160446167e-08,-0.1428571492433548,-0.17857146263122559,1.0,0.0,1.0,0.0,1.0
4247,2009,"WRIGHT, SCOTT O.",-0.11845768988132477,0.0,0.04575157165527344,1.0,0.0,1.0,0.0,1.0
3573,2007,"SMITH, ORTRIE D.",0.03542128950357437,-0.12903225421905518,0.05299544334411621,1.0,0.0,1.0,0.0,1.0
3268,2011,"SACHS, HOWARD F.",0.08812616020441055,0.1875,0.13636362552642822,1.0,0.0,1.0,1.0,0.0
617,2003,"CHESNEY, MAXINE M.",-0.06954861432313919,0.800000011920929,0.2999999523162842,0.0,0.0,1.0,1.0,0.0
847,2011,"DARRAH, JOHN W.",0.016988281160593033,0.0,0.75,1.0,0.0,1.0,0.0,0.0
3280,2007,"SAND, LEONARD B.",2.4835269396561444e-09,-0.3333333432674408,3.5,1.0,0.0,1.0,1.0,0.0
2376,2006,"MARBLEY, ALGENON L.",-0.03980885446071625,-0.0595238134264946,0.5833333730697632,1.0,1.0,1.0,0.0,1.0
2706,2007,"MORAN, JAMES B.",0.07407406717538834,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1661,2004,"HERNDON, DAVID R.",0.019245103001594543,-0.0555555559694767,-1.4059828519821167,1.0,0.0,1.0,0.0,1.0
4006,2008,"VOORHEES, RICHARD L.",-0.020090976729989052,-0.08888889104127884,0.21965813636779785,1.0,0.0,0.0,0.0,1.0
1887,2009,"JAMES, ROBERT G.",-0.011031185276806355,-0.38235294818878174,-0.0196077823638916,1.0,0.0,1.0,0.0,0.0
38,2009,"ALAIMO, ANTHONY A.",0.15616624057292938,0.02499999850988388,1.4749999046325684,1.0,0.0,0.0,0.0,1.0
1839,2009,"HURD, DAVID N.",0.012335105799138546,0.0927419364452362,0.14516127109527588,1.0,0.0,1.0,1.0,0.0
766,2008,"COPENHAVER, JOHN T., JR.",0.06983933597803116,-0.21739129722118378,-0.04528987407684326,1.0,0.0,0.0,1.0,1.0
4195,2007,"WOLFSON, FREDA L.",0.06356173008680344,0.0,-0.04999995231628418,0.0,0.0,0.0,1.0,0.0
1948,2009,"JORGENSON, CINDY K.",-0.008241039700806141,-0.11688311398029327,11.554112434387207,0.0,0.0,0.0,1.0,0.0
1075,2009,"ECONOMUS, PETER C.",0.053378067910671234,-0.125,0.09782612323760986,1.0,0.0,1.0,1.0,0.0
4085,2004,"WEBER, HERMAN J.",0.05507946386933327,0.0,-0.3999999761581421,1.0,0.0,0.0,1.0,1.0
74,2008,"ANDERSON, JOSEPH F., JR.",-0.032643742859363556,-0.1090909093618393,-1.172727346420288,1.0,0.0,0.0,0.0,1.0
1041,2005,"DOWNES, WILLIAM F.",0.2672864496707916,-0.22077922523021698,1.2510823011398315,1.0,0.0,1.0,1.0,0.0
4237,2005,"WOOTEN, TERRY L.",-0.06690992414951324,-0.19230769574642181,0.759615421295166,1.0,0.0,0.0,1.0,0.0
2272,2007,"LEON, RICHARD J.",0.00683758407831192,-0.2142857015132904,0.8571428060531616,1.0,0.0,0.0,1.0,0.0
1322,2005,"GAITAN, FERNANDO J., JR.",0.09373947978019714,0.18939393758773804,-2.5681817531585693,1.0,1.0,0.0,1.0,1.0
2664,2005,"MONTGOMERY, ANN D.",0.06737858057022095,-0.06451612710952759,0.05955326557159424,0.0,0.0,1.0,1.0,1.0
234,2006,"BERRIGAN, HELEN G.",-0.029512789100408554,0.055555559694767,0.4166666269302368,0.0,0.0,1.0,1.0,1.0
1555,2007,"GWIN, JAMES S.",0.0646405816078186,-0.05882352963089943,-0.18575847148895264,1.0,0.0,1.0,1.0,0.0
1659,2005,"HERLONG, HENRY M., JR.",-0.024961112067103386,-0.12718600034713745,0.2686804533004761,1.0,0.0,0.0,1.0,1.0
218,2005,"BENNETT, RICHARD D.",0.04488092288374901,0.12121212482452393,0.3333333730697632,1.0,0.0,0.0,1.0,0.0
1589,2011,"HAMILTON, JEAN C.",0.041616715490818024,0.0,-0.3384615182876587,0.0,0.0,0.0,1.0,1.0
2826,2006,"NORGLE, CHARLES R., SR.",-0.046878088265657425,0.16304346919059753,-0.3586956262588501,1.0,0.0,0.0,1.0,0.0
2975,2008,"POLLAK, LOUIS H.",-0.03310415893793106,0.25,0.5,1.0,0.0,1.0,1.0,0.0
4,2004,"ADAMS, JOHN R.",0.09814280271530151,0.06190476566553116,-3.742856979370117,1.0,0.0,0.0,0.0,0.0
2150,2004,"KRAVITZ, MARK R.",0.09014320373535156,0.3333333432674408,-0.20000004768371582,1.0,0.0,0.0,1.0,0.0
1605,2003,"HAMILTON, PHYLLIS J.",-3.725290298461914e-09,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1477,2007,"GRADY, JOHN F.",0.020208334550261497,0.0,-0.25,1.0,0.0,0.0,1.0,0.0
2728,2003,"MORROW, MARGARET M.",5.321843521421954e-10,0.0,3.904762029647827,0.0,0.0,1.0,1.0,0.0
2770,2007,"MURGUIA, CARLOS",-0.06041943281888962,0.08403362333774567,-0.15126049518585205,1.0,0.0,1.0,0.0,0.0
940,2010,"DER-YEGHIAYAN, SAMUEL",0.03438585251569748,0.07692307978868484,0.6483516693115234,1.0,0.0,0.0,0.0,0.0
2554,2010,"MCMAHON, COLLEEN",-0.033828817307949066,0.09090909361839294,0.33636367321014404,0.0,0.0,1.0,1.0,1.0
316,2011,"BOYLE, TERRENCE W.",0.07816770672798157,0.02477477490901947,-0.00450444221496582,1.0,0.0,0.0,0.0,0.0
4225,2003,"WOODLOCK, DOUGLAS P.",0.02284315600991249,0.0,-0.8333332538604736,1.0,0.0,0.0,0.0,1.0
1893,2004,"JARVIS, JAMES H., II",0.017039425671100616,0.0,-1.1166667938232422,1.0,0.0,0.0,0.0,1.0
4228,2008,"WOODLOCK, DOUGLAS P.",0.03888637572526932,-0.1538461595773697,-0.769230842590332,1.0,0.0,0.0,0.0,1.0
3636,2005,"STADTMUELLER, JOSEPH P.",-0.001393881975673139,0.14814814925193787,0.2640901803970337,1.0,0.0,0.0,1.0,0.0
3451,2006,"SHAW, CHARLES A.",0.10995255410671234,-0.20416668057441711,0.23749995231628418,1.0,1.0,1.0,1.0,1.0
761,2008,"COOPER, FLORENCE-MARIE",-0.01619023270905018,-0.10526315867900848,-0.736842155456543,0.0,0.0,1.0,1.0,0.0
519,2007,"CARNEY, CORMAC J.",-0.00688618328422308,0.0,0.1944444179534912,1.0,0.0,0.0,0.0,0.0
