,sentyr,judgeid,disparity_sexm,disparity_sexw,disparity_sex,cr1_disparity,cr2_disparity,cr3_disparity,cr4_disparity,cr5_disparity,cr6_disparity,cr7_disparity,cr8_disparity,cr9_disparity,cr10_disparity,cr11_disparity,cr12_disparity,cr13_disparity,cr14_disparity,cr15_disparity,cr16_disparity,cr17_disparity,cr18_disparity,cr19_disparity,cr20_disparity,cr21_disparity,cr22_disparity,black_disparity,trial_disparity,nocounts_disparity,malejudge,judge_yearsonbench
4219,2003,"REEVES, DANNY C.",0.020779384300112724,-0.09350722283124924,0.11428660899400711,0.0,0.0,0.0,0.1111111119389534,0.0,0.0,0.0,0.0,-0.4444444179534912,0.0,0.0,0.1111111119389534,0.1111111119389534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111119389534,0.0,0.1111111119389534,-2.055555582046509,1.0,2.0
1503,2009,"ENGELHARDT, KURT D.",0.008122317492961884,-0.1028827428817749,0.11100506037473679,0.02631578966975212,0.0,0.0,0.0,0.0,0.02631578966975212,0.0,0.0,-0.08771932125091553,0.0,0.15789473056793213,0.0,-0.25438597798347473,0.05263157933950424,0.0,0.0,0.02631578966975212,0.0,0.0,0.0,0.0,0.05263157933950424,0.01754385232925415,0.0,0.017543911933898926,1.0,8.0
4101,2005,"PREGERSON, DEAN D.",0.008563239127397537,-0.03082767128944397,0.03939091041684151,0.0555555559694767,0.0,0.0,0.0,0.0,0.0,0.0555555559694767,0.0,0.3333333432674408,0.0,-0.08888889104127884,0.0,-0.4333333373069763,0.0555555559694767,0.0,0.0,0.1666666716337204,0.0,0.0555555559694767,-0.20000000298023224,0.0,0.0,0.1111111119389534,-0.4888889193534851,-2.566666841506958,1.0,9.0
955,2007,"COLLIER, CURTIS L.",0.007374669425189495,-0.07866319268941879,0.08603785932064056,0.0,0.0,0.0,0.0,0.0,0.0,0.01587301678955555,0.0,0.222222238779068,0.0,0.1587301641702652,0.0,-0.3571428656578064,-0.1349206417798996,0.0,0.0,0.0317460335791111,0.0,0.01587301678955555,0.0317460335791111,0.01587301678955555,0.0,0.3650793731212616,0.0476190485060215,-0.4841270446777344,1.0,12.0
3991,2010,"PECHMAN, MARSHA J.",0.020496822893619537,-0.14347779750823975,0.1639746129512787,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857164144516,0.0,0.0357142873108387,0.0,-0.380952388048172,0.1785714328289032,-0.3333333432674408,0.0,0.1071428582072258,0.0,0.0714285746216774,0.0,0.0,0.0357142873108387,0.25,0.0357142873108387,0.0952380895614624,0.0,11.0
183,2009,"AYCOCK, SHARION",-0.03968973830342293,0.3175179362297058,-0.35720768570899963,-0.2916666865348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666679084301,0.25,0.0,-0.04166668653488159,0.0,0.125,0.0416666679084301,0.0,0.0,0.0833333358168602,0.0,-0.2916666865348816,0.0,0.0416666679084301,0.0416666679084301,-0.125,0.0,-0.04166674613952637,0.0,2.0
1881,2004,"GILLMOR, HELEN W.",0.016389688476920128,-0.07102196663618088,0.08741165697574615,0.04615384712815285,0.0,0.0,0.0,0.0,0.0,-0.10256411135196686,0.0,0.010256409645080566,0.0,0.06666666269302368,0.0,-0.14358976483345032,0.0,0.015384615398943424,0.0,0.03076923079788685,0.015384615398943424,0.015384615398943424,0.0,0.04615384712815285,0.0,0.03076923079788685,0.04615384712815285,0.2461538314819336,0.0,10.0
4655,2010,"SHARPE, GARY L.",0.0075092739425599575,-0.04805932566523552,0.055568598210811615,0.032258063554763794,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,0.0,0.1225806325674057,0.0,0.032258063554763794,0.0,-0.5032258033752441,0.19354838132858276,0.09677419066429138,0.0,0.22580644488334656,0.0,0.0,0.0,0.0,0.0,-0.17419356107711792,0.032258063554763794,-0.34193551540374756,1.0,6.0
2253,2007,"HILTON, CLAUDE M.",0.014089548029005527,-0.1643780618906021,0.17846761643886566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019607841968536377,0.0,0.11764705926179886,-0.27450981736183167,0.11764705926179886,0.0882352963089943,0.05882352963089943,0.0,0.05882352963089943,0.0882352963089943,0.029411764815449715,0.0,0.0,-0.30392158031463623,-0.1666666865348816,-0.21568629145622253,-0.5,1.0,22.0
3257,2009,"MARBLEY, ALGENON L.",0.01260715164244175,-0.13867869973182678,0.15128585696220398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7272727489471436,0.0,0.09090909361839294,0.04545454680919647,0.1818181872367859,0.27272728085517883,0.09090909361839294,0.0,0.04545454680919647,0.0,0.0,0.0,0.0,0.0,0.04545454680919647,0.0,0.4545454978942871,1.0,12.0
434,2010,"BLOCK, FREDERIC",0.006001389119774103,-0.05401250347495079,0.060013893991708755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666269302368,0.0,0.1111111119389534,0.0,0.1111111119389534,0.1111111119389534,0.0,0.0,0.1111111119389534,0.2222222238779068,0.0,0.0,0.0,0.0,-0.5555555820465088,0.1111111119389534,0.3333333730697632,1.0,16.0
1081,2007,"COPENHAVER, JOHN T., JR.",0.018273165449500084,-0.09502048045396805,0.11329364776611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999403953552,0.0,0.0307692289352417,0.0,-0.1230769231915474,0.03846153989434242,0.0,0.0,0.11538461595773697,0.0,-0.16153846681118011,0.0,0.0,0.0,-0.007692307233810425,0.1538461595773697,0.4615384340286255,1.0,31.0
4703,2004,"SIMON, PHILIP P.",0.03432539105415344,-0.06865079700946808,0.10297618806362152,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0
4595,2009,"SESSIONS, WILLIAM K., III",0.0070434738881886005,-0.07513035088777542,0.08217382431030273,0.015625,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.1979166567325592,0.0,0.0364583283662796,0.0,-0.2552083432674408,0.125,0.0,0.0,0.015625,0.0,0.0,0.0,-0.1666666716337204,0.015625,0.234375,0.015625,-0.8541667461395264,1.0,14.0
3205,2008,"LUNGSTRUM, JOHN W.",-0.01694376952946186,0.3219316005706787,-0.3388753831386566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04054054617881775,0.0,0.29729729890823364,0.0,0.054054055362939835,0.13513512909412384,-0.5,0.0,0.0,0.0,0.027027027681469917,0.0,0.0,0.027027027681469917,0.18918919563293457,0.027027027681469917,0.35135138034820557,1.0,17.0
1785,2005,"GARBIS, MARVIN J.",-0.06476877629756927,0.7772251963615417,-0.8419939875602722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666567325592,0.0,0.0,0.0,0.4166666567325592,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,-0.9166666865348816,0.0,-0.1666666865348816,-0.8333333134651184,0.5,1.0,16.0
1000,2011,"CONMY, PATRICK A.",0.019444435834884644,-0.038888901472091675,0.05833333730697632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,26.0
1865,2010,"GIBSON, KIM R.",0.022502094507217407,-0.16876569390296936,0.19126778841018677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4615384340286255,0.0,0.07692307978868484,0.0,0.07692307978868484,0.0,0.0,0.0,0.1538461595773697,0.0,0.0,0.07692307978868484,0.07692307978868484,0.0,0.03846156597137451,0.0,0.653846263885498,1.0,7.0
2795,2010,"KENNELLY, MATTHEW F.",0.002816208405420184,-0.030978277325630188,0.03379448503255844,0.0,0.0,0.0,0.0,0.0,0.0,-0.40909090638160706,0.0,0.0,0.0,0.0,0.0,0.13636364042758942,0.1818181872367859,0.0,0.0,0.04545454680919647,0.0,0.0,0.04545454680919647,0.0,0.0,-0.1818181872367859,0.13636364042758942,0.8636363744735718,1.0,11.0
4103,2008,"PREGERSON, DEAN D.",0.023032262921333313,-0.04606453701853752,0.06909680366516113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,1.0,12.0
3614,2011,"MONTALVO, FRANK",0.010131734423339367,-0.060790374875068665,0.07092210650444031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0833333358168602,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.08333337306976318,1.0,8.0
969,2003,"COLLINS, AUDREY B.",-0.008367130532860756,0.02091781422495842,-0.029284944757819176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,-0.09999999403953552,-0.5,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.20000000298023224,0.20000000298023224,0.4000000059604645,1.0,0.0,9.0
3356,2008,"MAXWELL, ROBERT E.",0.0008971325005404651,-0.01076553761959076,0.011662670411169529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.3333333432674408,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,43.0
3409,2005,"MCCUSKEY, MICHAEL P.",0.008079026825726032,-0.13465054333209991,0.14272956550121307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285714328289032,0.0,0.36734694242477417,0.0,-0.918367326259613,0.020408162847161293,0.0,0.0,0.08163265138864517,0.0,0.020408162847161293,0.0,0.0,0.0,0.5714285969734192,-0.2517006993293762,-2.1156463623046875,1.0,7.0
527,2010,"BRIMMER, CLARENCE A., JR.",0.009691847488284111,-0.04984377324581146,0.05953562259674072,0.02777777798473835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4087301790714264,0.0,0.1626984030008316,0.02777777798473835,0.02777777798473835,0.1111111119389534,0.0,0.0,0.1111111119389534,-0.1428571492433548,0.0,0.0,0.0,0.0833333358168602,0.0555555559694767,0.0555555559694767,0.2142857313156128,1.0,35.0
3414,2010,"MCCUSKEY, MICHAEL P.",0.009189198724925518,-0.1500903218984604,0.15927952527999878,0.040816325694322586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0476190447807312,0.0,0.26530611515045166,0.020408162847161293,-0.5034013986587524,0.020408162847161293,0.0,0.0,0.1428571492433548,0.0,0.040816325694322586,0.0,0.0,0.020408162847161293,-0.17687076330184937,-0.1496598720550537,0.9795918464660645,1.0,12.0
813,2009,"CAUTHRON, ROBIN J.",0.002245086943730712,-0.05163699388504028,0.05388208106160164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40909090638160706,0.0,0.22727273404598236,0.0,-0.8636363744735718,0.13636364042758942,0.0,0.0,0.0,0.04545454680919647,0.04545454680919647,0.0,0.0,0.0,0.13636364042758942,0.09090909361839294,0.7727272510528564,0.0,18.0
4994,2008,"SUKO, LONNY R.",-0.00791937392205,0.05411572381854057,-0.06203509867191315,-0.1666666716337204,0.0,0.0,0.0,0.0,0.024390242993831635,0.0,0.0,-0.15853658318519592,0.0,0.17073170840740204,0.0,-0.2845528721809387,0.39024388790130615,0.0,0.0,0.0,0.0,0.024390242993831635,0.0,0.0,0.0,-0.2845528721809387,0.09756097197532654,0.4390244483947754,1.0,5.0
1979,2006,"GRANADE, CALLIE V.",0.024190695956349373,-0.2004372626543045,0.22462795674800873,0.017241379246115685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3850574493408203,0.0,0.24137930572032928,-0.14942529797554016,0.017241379246115685,0.0517241396009922,0.0,0.0,0.12068965286016464,0.0,0.0517241396009922,0.0,0.017241379246115685,0.017241379246115685,0.3333333134651184,-0.08045977354049683,0.06321835517883301,0.0,4.0
2210,2007,"HERNDON, DAVID R.",-0.004700808320194483,0.06463618576526642,-0.06933699548244476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44090908765792847,0.0,0.16363635659217834,0.0,0.0,-0.15909090638160706,0.0,0.0,-0.23181818425655365,0.0,0.0181818176060915,0.0,-0.25,0.0181818176060915,0.3136363625526428,0.1090909093618393,-0.2999999523162842,1.0,9.0
40,2004,"ALAIMO, ANTHONY A.",0.02046983130276203,-0.38892656564712524,0.4093964099884033,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157933950424,0.0,0.2631579041481018,0.0,0.3684210479259491,0.0,-0.7894736528396606,0.05263157933950424,0.0,0.0,0.0,0.0,0.05263157933950424,0.0,0.0,0.0,-0.2631579041481018,0.05263157933950424,0.15789473056793213,1.0,33.0
3362,2006,"MAYS, SAMUEL H., JR.",0.0028721748385578394,-0.060315899550914764,0.06318807601928711,0.02380952425301075,0.0,0.0,0.02380952425301075,0.02380952425301075,0.0,0.0,0.0,0.380952388048172,0.0,0.4523809552192688,0.0,-0.9523809552192688,0.0,0.0,0.0,0.02380952425301075,0.0,0.0,0.0,0.02380952425301075,0.0,-0.1666666865348816,0.0476190485060215,-17.9761905670166,1.0,4.0
3752,2007,"MURGUIA, CARLOS",0.00042712423601187766,-0.003986480180174112,0.004413604270666838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3571428656578064,0.0,-0.4642857015132904,0.0357142873108387,-0.5,0.0,0.0357142873108387,0.0,0.0,0.0357142873108387,0.0,0.0,-0.5714285373687744,0.0,0.25,1.0,8.0
5160,2009,"TUCKER, PETRESE B.",0.006790895480662584,-0.11544524878263474,0.12223614752292633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7647058963775635,0.0,0.11764705926179886,0.05882352963089943,0.23529411852359772,0.23529411852359772,0.0,0.0,0.05882352963089943,0.0,0.0,0.05882352963089943,0.0,0.0,0.29411765933036804,0.0,0.11764717102050781,0.0,9.0
1952,2005,"GOTTSCHALL, JOAN B.",-0.01859668269753456,0.051657434552907944,-0.0702541172504425,0.0416666679084301,0.0,0.0,0.0,0.0,0.0,-0.0694444477558136,0.0,0.2777777910232544,0.0,0.125,0.0,-0.2777777910232544,0.0416666679084301,0.0,0.0,0.0,0.0,-0.0277777761220932,0.0,-0.1111111119389534,0.0,-0.13888892531394958,0.125,0.05555558204650879,0.0,9.0
3161,2011,"LODGE, EDWARD J.",0.015241439454257488,-0.11240566521883011,0.12764710187911987,-0.10805084556341171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008474588394165039,0.0,0.10169491171836853,-0.25,-0.02330508828163147,0.22033898532390594,0.0,0.0,0.016949152573943138,0.0,0.0,0.0,0.0,0.033898305147886276,0.033898305147886276,0.0,0.16949152946472168,1.0,22.0
4952,2006,"STIEHL, WILLIAM D.",0.018331604078412056,-0.10265695303678513,0.12098855525255203,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06428569555282593,0.0,0.3214285671710968,-0.20000000298023224,-0.12857142090797424,0.0,0.0,0.0,0.0357142873108387,0.0,0.0714285746216774,0.0357142873108387,0.0,0.0,0.264285683631897,0.0357142873108387,1.3857144117355347,1.0,20.0
