,sentyr,judgeid,disparity_sex,nocounts_disparity,gender,x_black,x_dem,aba_best,christian
215,2008,"BLACK, BRUCE D.",0.0003346223384141922,0.4722222089767456,1.0,0.0,1.0,0.0,1.0
767,2004,"DAWSON, KENT J.",0.0035538473166525364,-0.10256409645080566,1.0,0.0,1.0,0.0,1.0
2230,2003,"MOLLOY, DONALD W.",0.00024250925343949348,-0.7777777910232544,1.0,0.0,1.0,1.0,0.0
1035,2008,"FLANAGAN, LOUISE W.",-0.018338730558753014,0.4045863151550293,0.0,0.0,0.0,0.0,0.0
1104,2007,"FULLER, MARK E.",-0.00014728381938766688,0.2236841917037964,1.0,0.0,0.0,0.0,0.0
1194,2005,"GILLMOR, HELEN W.",0.04857617989182472,-1.048706293106079,0.0,0.0,1.0,0.0,1.0
2480,2006,"PHILLIPS, VIRGINIA A.",0.01904548890888691,-1.142857313156128,0.0,0.0,1.0,1.0,1.0
35,2006,"ALAIMO, ANTHONY A.",0.0030092657543718815,0.0,1.0,0.0,0.0,0.0,1.0
59,2008,"ANDERSEN, WAYNE R.",0.07040522247552872,-2.923076868057251,1.0,0.0,0.0,0.0,1.0
30,2007,"ALAIMO, ANTHONY A.",-0.011676955036818981,-0.2777777910232544,1.0,0.0,0.0,0.0,1.0
2001,2003,"MARRA, KENNETH A.",0.008391204290091991,2.6666665077209473,1.0,0.0,0.0,1.0,0.0
1139,2011,"GARCIA-GREGORY, JAY A.",1.1641532182693481e-09,0.125,1.0,0.0,1.0,0.0,0.0
621,2005,"CONNER, CHRISTOPHER C.",0.19164994359016418,-0.21212124824523926,1.0,0.0,0.0,1.0,0.0
1644,2010,"JORGENSON, CINDY K.",0.01734207011759281,0.2857142686843872,0.0,0.0,0.0,1.0,0.0
110,2003,"BARBIER, CARL J.",0.0,1.3333332538604736,1.0,0.0,1.0,0.0,0.0
1712,2004,"KESSLER, GLADYS",1.6933138224928257e-10,0.40909087657928467,0.0,0.0,1.0,1.0,0.0
1166,2008,"GERTNER, NANCY",0.13638626039028168,1.2999999523162842,0.0,0.0,1.0,1.0,0.0
