,sentyr,judgeid,demean_harshness,race1,race2,race3,race4,race5,race6,race7,race8,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8,cr9,cr10,cr11,cr12,cr13,cr14,cr15,cr16,cr17,cr18,cr19,cr20,cr21,cr22,monsex,trial,nocounts,malejudge,judge_yearsonbench
4943,2011,"MOORE, WILLIAM T., JR.",0.0239948108792305,0.3947368562221527,0.6052631735801697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02777777798473835,0.02777777798473835,0.3333333432674408,0.0,0.25,0.0,0.1666666716337204,0.02777777798473835,0.0,0.0,0.0,0.02777777798473835,0.1111111119389534,0.0,0.02777777798473835,0.0,0.15789473056793213,0.05263157933950424,1.4473683834075928,1.0,17
4641,2004,"MCKINNEY, LARRY J.",0.011485002003610134,0.5882353186607361,0.37254902720451355,0.019607843831181526,0.019607843831181526,0.0,0.0,0.0,0.0,0.019607843831181526,0.03921568766236305,0.0,0.0,0.0,0.0,0.0,0.0,0.45098039507865906,0.0,0.19607843458652496,0.05882352963089943,0.1764705926179886,0.019607843831181526,0.019607843831181526,0.0,0.019607843831181526,0.0,0.0,0.0,0.0,0.0,0.0784313753247261,0.03921568766236305,1.4901961088180542,1.0,17
7558,2009,"WRIGHT, SCOTT O.",-0.02280457317829132,0.6153846383094788,0.3461538553237915,0.0,0.03846153989434242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769574642181,0.0,0.4615384638309479,0.03846153989434242,0.0,0.1538461595773697,0.0,0.0,0.11538461595773697,0.0,0.03846153989434242,0.0,0.0,0.0,0.0,0.07692307978868484,1.192307710647583,1.0,30
1642,2005,"DAVIS, MICHAEL J.",-0.025590986013412476,0.5357142686843872,0.3928571343421936,0.0714285746216774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142873108387,0.0,0.4285714328289032,0.0,0.1428571492433548,0.0,0.1785714328289032,0.0357142873108387,0.0,0.0,0.1071428582072258,0.0,0.0357142873108387,0.0,0.0,0.0357142873108387,0.0357142873108387,0.1428571492433548,2.607142925262451,1.0,11
2686,2010,"GRIESBACH, WILLIAM C.",0.02269371785223484,0.44117647409439087,0.029411764815449715,0.38235294818878174,0.05882352963089943,0.029411764815449715,0.0,0.05882352963089943,0.0,0.05882352963089943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882966518402,0.029411764815449715,0.11764705926179886,0.0,0.14705882966518402,0.029411764815449715,0.0,0.0,0.0,0.0,0.029411764815449715,0.029411764815449715,0.11764705926179886,0.29411765933036804,0.0882352963089943,0.0,1.0882352590560913,1.0,8
5325,2009,"PANNELL, CHARLES A., JR.",-0.020559119060635567,0.6800000071525574,0.2800000011920929,0.0,0.019999999552965164,0.0,0.0,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46000000834465027,0.0,0.2199999988079071,0.0,0.07999999821186066,0.20000000298023224,0.019999999552965164,0.0,0.0,0.0,0.019999999552965164,0.0,0.0,0.0,0.05999999865889549,0.18000000715255737,2.1600000858306885,1.0,10
1740,2004,"DIMITROULEAS, WILLIAM P.",-0.019883904606103897,0.4324324429035187,0.5405405163764954,0.0,0.027027027681469917,0.0,0.0,0.0,0.0,0.054054055362939835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054054021835327,0.0,0.13513512909412384,0.027027027681469917,0.1621621549129486,0.1621621549129486,0.0,0.0,0.027027027681469917,0.0,0.027027027681469917,0.0,0.0,0.0,0.10810811072587967,0.027027027681469917,1.7027027606964111,1.0,6
6689,2004,"STENGEL, LAWRENCE F.",-0.09232288599014282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0
5555,2006,"PREGERSON, DEAN D.",-0.07086463272571564,0.9090909361839294,0.0,0.0,0.09090909361839294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27272728085517883,0.09090909361839294,0.1818181872367859,0.0,0.1818181872367859,0.0,0.09090909361839294,0.0,0.1818181872367859,0.0,0.0,0.0,0.0,0.0,0.09090909361839294,0.0,2.0,1.0,10
3230,2010,"HUDSON, HENRY E.",-0.004383632447570562,0.2750000059604645,0.675000011920929,0.0,0.02500000037252903,0.0,0.0,0.02500000037252903,0.0,0.0,0.0,0.0,0.07500000298023224,0.0,0.02500000037252903,0.0,0.0,0.32499998807907104,0.0,0.30000001192092896,0.0,0.15000000596046448,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.07500000298023224,1.5750000476837158,1.0,8
