,judgeid,demean_harshness,race1,monsex,nocounts,gender,x_black,x_dem,aba_best,christian,judge_yearsonbench
2005,"HOVLAND, DANIEL L.",2.8369106075842865e-05,0.5,0.0476190485060215,1.4285714626312256,1.0,0.0,0.0,0.0,1.0,4
2875,"MCKINNEY, LARRY J.",0.0046774339862167835,0.75,0.0625,1.7083333730697632,1.0,0.0,0.0,1.0,1.0,20
964,"DAVIDSON, GLEN H.",-0.04230647534132004,0.5517241358757019,0.12903225421905518,1.0967742204666138,1.0,0.0,0.0,0.0,1.0,19
957,"DARRAH, JOHN W.",0.06856465339660645,0.7142857313156128,0.043478261679410934,1.91304349899292,1.0,0.0,1.0,0.0,0.0,6
2423,"KOVACHEVICH, ELIZABETH A.",0.09128562361001968,0.8125,0.125,1.625,2.0,0.0,0.0,0.0,0.0,21
275,"BLACK, BRUCE D.",-0.04501673951745033,0.7241379022598267,0.1034482792019844,1.2758620977401733,1.0,0.0,1.0,0.0,1.0,11
4106,"SNYDER, CHRISTINA A.",0.005891445558518171,0.75,0.0833333358168602,1.5416666269302368,2.0,0.0,1.0,0.0,0.0,9
2602,"LINDBERG, GEORGE W.",0.08056066930294037,0.30000001192092896,0.0,1.100000023841858,1.0,0.0,0.0,0.0,1.0,15
598,"CARR, JAMES G.",-0.03451007232069969,0.6000000238418579,0.10000000149011612,1.149999976158142,1.0,0.0,1.0,1.0,0.0,16
3184,"NEVAS, ALAN H.",0.09280826151371002,0.1111111119389534,0.2222222238779068,1.5555555820465088,1.0,0.0,0.0,1.0,0.0,18
2039,"HUCK, PAUL C.",0.017687859013676643,0.800000011920929,0.10000000149011612,1.7000000476837158,1.0,0.0,1.0,1.0,0.0,11
3764,"SARGUS, EDMUND A., JR.",-0.05895059555768967,0.6818181872367859,0.04545454680919647,3.0,1.0,0.0,1.0,1.0,0.0,13
1606,"GODBEY, DAVID C.",-0.129307359457016,0.5945945978164673,0.1621621549129486,1.5945945978164673,1.0,0.0,0.0,1.0,0.0,6
1242,"ENGLAND, MORRISON C., JR.",-0.008482534438371658,0.695652186870575,0.043478261679410934,1.8260869979858398,1.0,1.0,0.0,1.0,0.0,8
968,"DAVIDSON, GLEN H.",-0.061134979128837585,0.1875,0.125,1.25,1.0,0.0,0.0,0.0,1.0,23
2403,"KORNMANN, CHARLES B.",0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,7
2014,"HOWARD, MALCOLM J.",-0.04019036144018173,0.20618556439876556,0.07216494530439377,1.4123711585998535,1.0,0.0,0.0,0.0,1.0,17
2286,"KELLY, ROBERT F.",0.0495341420173645,0.3333333432674408,0.0,2.0,1.0,0.0,0.0,1.0,0.0,18
1440,"FULLAM, JOHN P.",-0.008618137799203396,0.3333333432674408,0.6666666865348816,1.6666666269302368,1.0,0.0,1.0,1.0,0.0,39
4375,"THOMPSON, ALVIN W.",-0.03720633685588837,0.4444444477558136,0.0555555559694767,1.1666666269302368,1.0,1.0,1.0,0.0,1.0,16
